chain, name, latitude, longitude, address, city, zip, department, phone, hours, store_id, is_address_computed, is_location_computed, key, ignored, ignore_reason, overload_chain_name, mandatory_coords, country_code
shopmium,Shopmium Poissy,48.9282077,2.0446661,119 rue du General de Gaulle,Poissy,78300,,130068308,[],,TRUE,TRUE,sfr:01 30 06 83 08,FALSE,,,TRUE,fr
shopmium,Shopmium Osny,49.0700239,2.062715,c.cial Leclerc chemin des Hayette la Croix Saint Emilion Cellule D36,Osny,95520,,130170088,[],,TRUE,TRUE,sfr:01 30 17 00 88,FALSE,,,TRUE,fr
shopmium,Shopmium Rambouillet,48.6440114,1.8232859,74 av General de Gaulle,Rambouillet,78120,,130462988,[],,TRUE,TRUE,sfr:01 30 46 29 88,FALSE,,,TRUE,fr
shopmium,Shopmium Plaisir,48.817223,1.949075,c.cial Auchan Grand Plaisir D161 les Vicomtes Local 28,Plaisir,78370,,130554207,[],,TRUE,TRUE,sfr:01 30 55 42 07,FALSE,,,TRUE,fr
shopmium,Shopmium Les Clayes Sous Bois,48.82342,1.976374,av Henri Barbusse c.cial Clayes 2,Les Clayes Sous Bois,78340,,130554621,[],,TRUE,TRUE,sfr:01 30 55 46 21,FALSE,,,TRUE,fr
shopmium,Shopmium Saint Quentin En Yvelines,48.771652,2.0192,Galerie Ciale Saint Quentin Local 102,Saint Quentin En Yvelines,78180,,130640108,[],,TRUE,TRUE,sfr:01 30 64 01 08,FALSE,,,TRUE,fr
shopmium,Shopmium Flins Sur Seine,48.962687,1.87006,c.cial Carrefour 65 chemin Departemental 14,Flins Sur Seine,78410,,130900752,[],,TRUE,TRUE,sfr:01 30 90 07 52,FALSE,,,TRUE,fr
shopmium,Shopmium Osny,49.0700239,2.062715,ZAC de l'Oseraie RD 915,Osny,95520,,134205400,[],,TRUE,TRUE,sfr:01 34 20 54 00,FALSE,,,TRUE,fr
shopmium,Shopmium Cergy,49.035617,2.060325,c.cial les 3 Fontaines Niveau Bas,Cergy,95000,,134250446,[],,TRUE,TRUE,sfr:01 34 25 04 46,FALSE,,,TRUE,fr
shopmium,Shopmium Saint Germain En Laye,48.8971077,2.0902427,10 rue de Pologne,Saint Germain En Laye,78100,,134510800,[],,TRUE,TRUE,sfr:01 34 51 08 00,FALSE,,,TRUE,fr
shopmium,Shopmium L'isle Adam,49.112288,2.217872,c.cial Carrefour Local No 104 le Grand Val N922,L'isle Adam,95290,,134692258,[],,TRUE,TRUE,sfr:01 34 69 22 58,FALSE,,,TRUE,fr
shopmium,Shopmium Mantes La Jolie,48.9894922,1.7160265,24 rue Gambetta,Mantes La Jolie,78200,,134979658,[],,TRUE,TRUE,sfr:01 34 97 96 58,FALSE,,,TRUE,fr
shopmium,Shopmium Maisons Laffitte,48.9469907,2.1463743,23 bis av de Longueil,Maisons Laffitte,78600,,139125974,[],,TRUE,TRUE,sfr:01 39 12 59 74,FALSE,,,TRUE,fr
shopmium,Shopmium Sartrouville,48.941106,2.158431,c.cial du Plateau av Robert Schumman,Sartrouville,78500,,139150346,[],,TRUE,TRUE,sfr:01 39 15 03 46,FALSE,,,TRUE,fr
shopmium,Shopmium Versailles,48.8068118,2.1312545,9 rue Ducis,Versailles,78000,,139240808,[],,TRUE,TRUE,sfr:01 39 24 08 08,FALSE,,,TRUE,fr
shopmium,Shopmium Moisselles,49.04047,2.341543,c.cial Leclerc Moisselles,Moisselles,95570,,139350859,[],,TRUE,TRUE,sfr:01 39 35 08 59,FALSE,,,TRUE,fr
shopmium,Shopmium Velizy Villacoublay,48.781857,2.218229,Fnac Galerie Ciale Velizy 2 av de l Europe,Velizy Villacoublay,78140,,139459412,[],,TRUE,TRUE,sfr:01 39 45 94 12,FALSE,,,TRUE,fr
shopmium,Shopmium Velizy Villacoublay,48.781857,2.218229,c.cial Velizy 2 av de l'Europe,Velizy Villacoublay,78140,,139462600,[],,TRUE,TRUE,sfr:01 39 46 26 00,FALSE,,,TRUE,fr
shopmium,Shopmium Taverny,49.025663,2.221747,c.cial les Portes de Taverny,Taverny,95150,,139600332,[],,TRUE,TRUE,sfr:01 39 60 03 32,FALSE,,,TRUE,fr
shopmium,Shopmium Le Chesnay,48.82802,2.1213512,c.cial Parly2/322 av chemin de Gaulle,Le Chesnay,78150,,139660198,[],,TRUE,TRUE,sfr:01 39 66 01 98,FALSE,,,TRUE,fr
shopmium,Shopmium Montesson,48.928266,2.143557,c.cial Carrefour 280 av Gabriel Peri,Montesson,78360,,139680417,[],,TRUE,TRUE,sfr:01 39 68 04 17,FALSE,,,TRUE,fr
shopmium,Shopmium Chambourcy,48.906272,2.040137,c.cial Carrefou RN 13 route de Mantes Lot 37,Chambourcy,78240,,139701223,[],,TRUE,TRUE,sfr:01 39 70 12 23,FALSE,,,TRUE,fr
shopmium,Shopmium Sarcelles,48.9859589,2.3726896,Galerie Ciale Auchan Val de France 200 av de la Division Leclerc,Sarcelles,95200,,139900971,[],,TRUE,TRUE,sfr:01 39 90 09 71,FALSE,,,TRUE,fr
